0	10	3
0	9	4
0	6	8
0	1	5
0	2	7
1	10	3
1	9	4
1	6	8
1	1	5
1	2	7
2	10	3
2	9	4
2	6	8
2	1	5
2	2	7
4	10	8
4	9	5
4	6	4
4	1	7
4	2	3
5	10	8
5	9	5
5	6	4
5	1	7
5	2	3
6	10	8
6	9	5
6	6	4
6	1	7
6	2	3
7	8	9
7	7	6
7	5	10
7	3	1
7	4	2
8	8	9
8	7	6
8	5	10
8	3	1
8	4	2
9	8	9
9	7	6
9	5	10
9	3	1
9	4	2
11	8	1
11	9	3
11	6	10
11	7	4
11	2	5
12	8	1
12	9	3
12	6	10
12	7	4
12	2	5
13	8	1
13	9	3
13	6	10
13	7	4
13	2	5
14	10	7
14	6	9
14	5	3
14	1	4
14	2	8
15	10	7
15	6	9
15	5	3
15	1	4
15	2	8
16	10	7
16	6	9
16	5	3
16	1	4
16	2	8
18	9	2
18	5	8
18	3	7
18	4	10
18	1	6
19	9	2
19	5	8
19	3	7
19	4	10
19	1	6
20	9	2
20	5	8
20	3	7
20	4	10
20	1	6
21	10	2
21	8	4
21	9	1
21	3	6
21	7	5
22	10	2
22	8	4
22	9	1
22	7	5
22	3	6
23	10	2
23	8	4
23	9	1
23	7	5
23	3	6
25	10	9
25	8	7
25	6	5
25	4	3
25	2	1
26	10	9
26	8	7
26	6	5
26	4	3
26	2	1
27	10	9
27	8	7
27	6	5
27	4	3
27	2	1
28	9	7
28	5	4
28	3	8
28	1	10
28	2	6
29	9	7
29	5	4
29	3	8
29	1	10
29	2	6
30	9	7
30	5	4
30	3	8
30	1	10
30	2	6
32	8	6
32	7	10
32	5	9
32	3	2
32	4	1
33	8	6
33	7	10
33	5	9
33	3	2
33	4	1
34	8	6
34	7	10
34	5	9
34	3	2
34	4	1
35	8	2
35	6	1
35	7	3
35	4	9
35	10	5
36	10	5
36	8	2
36	6	1
36	7	3
36	4	9
37	10	5
37	8	2
37	6	1
37	7	3
37	4	9
39	9	6
39	5	7
39	3	10
39	1	8
39	2	4
40	9	6
40	5	7
40	3	10
40	1	8
40	2	4
41	9	6
41	5	7
41	3	10
41	1	8
41	2	4
42	9	10
42	6	3
42	4	7
42	1	2
42	8	5
43	6	3
43	4	7
43	1	2
43	8	5
43	9	10
44	8	5
44	9	10
44	6	3
44	4	7
44	1	2
46	10	4
46	8	3
46	6	2
46	7	9
46	5	1
47	10	4
47	8	3
47	6	2
47	7	9
47	5	1
48	10	4
48	8	3
48	6	2
48	7	9
48	5	1
49	10	6
49	7	1
49	4	8
49	2	9
49	3	5
50	10	6
50	7	1
50	3	5
50	4	8
50	2	9
51	10	6
51	7	1
51	3	5
51	4	8
51	2	9
53	9	8
53	6	7
53	4	5
53	1	3
53	2	10
54	9	8
54	6	7
54	4	5
54	1	3
54	2	10
55	9	8
55	6	7
55	4	5
55	1	3
55	2	10
56	8	10
56	7	2
56	5	6
56	3	4
56	1	9
57	8	10
57	7	2
57	5	6
57	3	4
57	1	9
58	8	10
58	7	2
58	5	6
58	3	4
58	1	9
60	10	1
60	7	8
60	5	2
60	3	9
60	4	6
61	10	1
61	7	8
61	5	2
61	3	9
61	4	6
62	10	1
62	7	8
62	5	2
62	3	9
62	4	6
63	10	3
63	9	8
63	6	7
63	2	1
63	4	5
64	10	3
64	9	8
64	6	7
64	4	5
64	2	1
65	10	3
65	9	8
65	6	7
65	4	5
65	2	1
67	8	10
67	9	4
67	6	2
67	7	5
67	1	3
68	8	10
68	9	4
68	6	2
68	7	5
68	1	3
69	8	10
69	9	4
69	6	2
69	7	5
69	1	3
70	10	4
70	5	6
70	3	9
70	1	7
70	2	8
71	10	4
71	5	6
71	3	9
71	1	7
71	2	8
72	10	4
72	5	6
72	3	9
72	1	7
72	2	8
74	10	7
74	9	6
74	5	1
74	3	8
74	4	2
75	10	7
75	9	6
75	5	1
75	3	8
75	4	2
76	10	7
76	9	6
76	3	8
76	5	1
76	4	2
77	6	10
77	7	9
77	1	4
77	2	3
77	8	5
78	8	5
78	6	10
78	7	9
78	1	4
78	2	3
79	8	5
79	6	10
79	7	9
79	1	4
79	2	3
81	7	6
81	3	10
81	4	9
81	1	8
81	2	5
82	7	6
82	3	10
82	4	9
82	1	8
82	2	5
83	7	6
83	3	10
83	4	9
83	1	8
83	2	5
84	10	2
84	9	1
84	6	3
84	5	4
84	8	7
85	10	2
85	8	7
85	9	1
85	6	3
85	5	4
86	10	2
86	8	7
86	9	1
86	6	3
86	5	4
88	9	2
88	6	1
88	7	10
88	5	3
88	4	8
89	9	2
89	6	1
89	7	10
89	5	3
89	4	8
90	9	2
90	6	1
90	7	10
90	5	3
90	4	8
91	8	6
91	5	9
91	3	4
91	1	10
91	2	7
92	8	6
92	5	9
92	3	4
92	1	10
92	2	7
93	8	6
93	5	9
93	3	4
93	1	10
93	2	7
95	10	5
95	8	2
95	9	7
95	3	1
95	4	6
96	10	5
96	8	2
96	9	7
96	3	1
96	4	6
97	10	5
97	8	2
97	9	7
97	3	1
97	4	6
98	8	9
98	7	3
98	4	1
98	2	10
98	6	5
99	8	9
99	6	5
99	7	3
99	4	1
99	2	10
100	8	9
100	6	5
100	7	3
100	4	1
100	2	10
102	10	6
102	7	4
102	5	8
102	3	2
102	1	9
103	10	6
103	7	4
103	5	8
103	3	2
103	1	9
104	10	6
104	7	4
104	5	8
104	3	2
104	1	9
105	9	10
105	6	8
105	7	2
105	4	3
105	1	5
106	9	10
106	6	8
106	7	2
106	4	3
106	1	5
107	9	10
107	6	8
107	7	2
107	4	3
107	1	5
109	8	1
109	5	7
109	3	6
109	4	10
109	2	9
110	8	1
110	5	7
110	3	6
110	4	10
110	2	9
111	8	1
111	5	7
111	3	6
111	4	10
111	2	9
112	10	8
112	1	6
112	2	4
112	9	5
112	3	7
113	10	8
113	9	5
113	3	7
113	1	6
113	2	4
114	10	8
114	9	5
114	3	7
114	1	6
114	2	4
116	9	3
116	6	4
116	7	8
116	5	10
116	1	2
117	9	3
117	6	4
117	7	8
117	5	10
117	1	2
118	9	3
118	6	4
118	7	8
118	5	10
118	1	2
126	10	1
126	8	3
126	6	9
126	5	2
126	4	7
127	10	1
127	8	3
127	6	9
127	5	2
127	4	7
128	10	1
128	8	3
128	6	9
128	5	2
128	4	7
130	10	9
130	8	4
130	7	1
130	3	5
130	2	6
131	10	9
131	8	4
131	7	1
131	3	5
131	2	6
132	10	9
132	8	4
132	7	1
132	3	5
132	2	6
134	9	2
134	5	8
134	3	7
134	4	10
134	1	6
135	9	2
135	5	8
135	4	10
135	1	6
135	3	7
137	10	3
137	9	4
137	6	8
137	1	5
137	2	7
138	10	3
138	9	4
138	6	8
138	1	5
138	2	7
139	10	8
139	9	3
139	6	5
139	7	1
139	4	2
140	10	8
140	9	3
140	7	1
140	4	2
140	6	5
141	10	9
141	8	1
141	7	5
141	3	2
141	4	6
142	10	9
142	8	1
142	7	5
142	3	2
142	4	6
144	9	7
144	5	10
144	3	8
144	1	4
144	2	6
145	9	7
145	5	10
145	3	8
145	1	4
145	2	6
146	6	3
146	5	2
146	4	8
146	1	9
146	10	7
147	10	7
147	6	3
147	5	2
147	4	8
147	1	9
148	10	2
148	9	8
148	6	1
148	7	3
148	4	5
149	10	2
149	9	8
149	6	1
149	7	3
149	4	5
151	8	6
151	7	4
151	3	5
151	1	10
151	2	9
152	8	6
152	7	4
152	3	5
152	1	10
152	2	9
153	10	4
153	8	2
153	7	9
153	5	6
153	3	1
154	10	4
154	8	2
154	7	9
154	5	6
154	3	1
155	8	4
155	9	6
155	5	7
155	3	10
155	2	1
156	8	4
156	9	6
156	3	10
156	2	1
156	5	7
158	9	5
158	6	7
158	4	3
158	1	8
158	2	10
159	9	5
159	6	7
159	4	3
159	1	8
159	2	10
160	10	6
160	8	5
160	7	2
160	3	9
160	4	1
161	10	6
161	7	2
161	3	9
161	4	1
161	8	5
162	9	10
162	6	4
162	7	8
162	1	3
162	2	5
163	9	10
163	6	4
163	7	8
163	1	3
163	2	5
165	8	10
165	6	9
165	5	4
165	1	7
165	2	3
166	8	10
166	6	9
166	5	4
166	1	7
166	2	3
167	10	5
167	8	9
167	7	6
167	3	4
167	1	2
168	8	9
168	7	6
168	3	4
168	1	2
168	10	5
169	7	10
169	5	1
169	3	6
169	4	9
169	2	8
170	7	10
170	5	1
170	3	6
170	4	9
170	2	8
171	8	7
171	9	1
171	6	10
171	5	3
171	2	4
172	8	7
172	9	1
172	6	10
172	5	3
172	2	4
173	10	1
173	8	3
173	6	2
173	5	9
173	4	7
174	10	1
174	8	3
174	6	2
174	5	9
174	4	7
